tokens,manual_tag,reason,Multitag,tags,,
Iraga|NNP,no_tag,"named entity, beyond our scope",FALSE,,,0
ganyan|NNC,MISC,abstract,FALSE,,,
sambit|NNC,"gerund,MISC",2 use cases,TRUE,,,
Bulkang|NNP_CCP,no_tag,named entity (Location),FALSE,,,
Kumakabog|NNP,no_tag,Verb (start of sentence),FALSE,,,
hasang|NNC_CCP,body part,,FALSE,,,
tuka|NNC,body part,,FALSE,tags,,
Bigay|NNP,no_tag,Verb (start of sentence),FALSE,,,
Pulang|NNP_CCP,no_tag,adjective,FALSE,,,
King|NNP,no_tag,named entity (person),FALSE,,,
hiningang|NNC_CCP,no_tag,adjective from naghahabol-hininga,FALSE,administration,,
Luna|NNP,no_tag,named entity (person),FALSE,,,
Umikot|NNP,no_tag,Verb (start of sentence),FALSE,,,
kopra|NNC,object,,FALSE,aim,,
pagbalik|NNC,gerund,,FALSE,animal,,
Alzheimer|NNP,no_tag,named entity (Event),FALSE,,,
Andyan|NNP,no_tag,,FALSE,,,
Gugurang|NNP,no_tag,,FALSE,,,
gitara|NNC,obejct,,FALSE,consequence,,
Langoy|NNP,no_tag,,FALSE,,,
pagsisisi|NNC,no_tag,verb,FALSE,event,,
Gininaw|NNP,no_tag,,FALSE,,,
t|NNCA,no_tag,"short for at, in tandem with iba't iba, etc.",FALSE,location,,
hamog|NNC,MISC,weather phenomenon used as an object,FALSE,object,,
Kamayanan|NNP,no_tag,,FALSE,,,
Nay|NNP,no_tag,,FALSE,,,
Aba|NNP,no_tag,,FALSE,,,
Nanay|NNP,no_tag,,FALSE,,,
Tang|NNP,no_tag,,FALSE,,,
Mario|NNP,no_tag,,FALSE,,,
Mapaparami|NNP,no_tag,,FALSE,,,
Cora|NNP,no_tag,,FALSE,,,
itlog|NNC,object,,FALSE,organization,,
hangin|NNC,event,weather phenomenon,FALSE,person,,
tropiyo|NNC,object,,FALSE,,,
Neeeeeeey|NNP,no_tag,,FALSE,,,
bahala|NNC,MISC,role,FALSE,gerund,,
pagtuli|NNC,gerund,,FALSE,emotion,,
takipsilim|NNC,event,,FALSE,mythical creature,,
Gugurang|NNC_CCP,no_tag,named entity,FALSE,,,
kurap|NNC,no_tag,verb,FALSE,body part,,
Sumimangot|NNP,no_tag,,FALSE,,,
Pagsisisihan|NNP,no_tag,,FALSE,,,
Lagim|NNP,no_tag,,FALSE,,,
Masustansya|NNP,no_tag,,FALSE,,,
salitang|NNC_CCP,MISC,abstract,FALSE,food,,
Opo|NNP,no_tag,,FALSE,,,
pagpasok|NNC,gerund,,FALSE,,,
pagkakaiba|NNC,MISC,abstract,FALSE,,,
rolyo|NNC,object,,FALSE,,,
Yoyo|NNP,no_tag,,FALSE,,,
Matud|NNP,no_tag,,FALSE,,,
Pawikan|NNP,no_tag,,FALSE,,,
Kinagabihan|NNP,no_tag,,FALSE,,,
palengke|NNC,location,,FALSE,,,
kaarawan|NNC,event,,FALSE,,,
karagatan|NNC,location,,FALSE,,,
pares|NNC,organization,,FALSE,,,
Tahipan|NNP,no_tag,,FALSE,,,
Masikap|NNP,no_tag,,FALSE,,,
ABC|NNPA,no_tag,named entity,FALSE,,,
Islaw|NNP,no_tag,,FALSE,,,
Nena|NNP,no_tag,,FALSE,,,
sara|NNC,no_tag,verb,FALSE,,,
Pandan|NNP,no_tag,,FALSE,,,
Pani|NNP,no_tag,,FALSE,,,
workshop|NNC,location,,FALSE,,,
Pasensiya|NNP,no_tag,,FALSE,,,
kumikislap|NNC,no_tag,verb,FALSE,,,
bunot|NNC,object,,FALSE,,,
Sumagang|NNP,no_tag,,FALSE,,,
Ma|NNC,person,common name for mama,FALSE,,,
binata|NNC,person,,FALSE,,,
Yayo|NNP,no_tag,,FALSE,,,
kayong|NNC_CCP,no_tag,pronopun,FALSE,,,
Laki|NNC,no_tag,named entity (animal),FALSE,,,
sapa|NNC,location,,FALSE,,,
kape|NNC,food,,FALSE,,,
Takot|NNP,no_tag,,FALSE,,,
tukso|NNC,MISC,abstract,FALSE,,,
sabon|NNC,object,,FALSE,,,
tirik|NNC,gerund,,FALSE,tags,,
buhos|NNC,gerund,,FALSE,administration,,
Bonong|NNC_CCP,no_tag,named entity,FALSE,,,
ikabubuti|NNC,MISC,abstract,FALSE,aim,,
bunga|NNC,food,,FALSE,animal,,
Asog|NNP,no_tag,,FALSE,,,
Tutulungan|NNP,no_tag,,FALSE,,,
Education|NNP,no_tag,,FALSE,,,
tralala|NNC,MISC,onomatopoeia,FALSE,consequence,,
sitio|NNC,location,,FALSE,event,,
kahihiyan|NNC,MISC,abstract,FALSE,location,,
pagbabahagi|NNC,gerund,,FALSE,object,,
kabibe|NNC,animal,,FALSE,organization,,
Ping|NNC,no_tag,named_entity (person),FALSE,,,
Inday|NNC,no_tag,named_entity (person),FALSE,,,
destinasyon|NNC,location,,FALSE,person,,
Pino|NNP,no_tag,,FALSE,,,
aw|NNCA,MISC,onomatopoeia,FALSE,,,
dilim|NNC,"location,MISC",Use case dependent. 4 lang naman,TRUE,gerund,,
paruparong|NNC_CCP,animal,,FALSE,emotion,,
Dagling|NNP_CCP,no_tag,adverb,FALSE,,,
hinlalaki|NNC,body part,,FALSE,mythical creature,,
puluputan|NNC,person,only use case,FALSE,body part,,
sinag|NNC,gerund,,FALSE,food,,
tilamsik|NNC,gerund,,FALSE,,,
sagot|NNC,"no_tag,gerund","tag depends if it is right after a ""|PMS or not",TRUE,,,
nguso|NNC,body part,,FALSE,,,
ideya|NNC,MISC,abstract,FALSE,,,
Chirath|NNP,no_tag,,FALSE,,,
pagyuko|NNC,no_tag,verb,FALSE,,,
Bigla|NNP,no_tag,,FALSE,,,
pagtagpi|NNC,no_tag,verb,FALSE,,,
teksto|NNC,object,,FALSE,,,
Grade|NNP,no_tag,,FALSE,,,
Ayun|NNP,no_tag,,FALSE,,,
Gumaganda|NNP,no_tag,,FALSE,,,
Wow|NNP,no_tag,,FALSE,,,
Heto|NNP,no_tag,,FALSE,,,
Lawa|NNP,no_tag,,FALSE,,,
Mabibibli|NNP,no_tag,,FALSE,,,
pagdisenyo|NNC,gerund,,FALSE,,,
Holmes|NNP,no_tag,,FALSE,,,
g|NNCA,no_tag,formatting error,FALSE,,,
tuwa|NNC,emotion,,FALSE,,,
Sige|NNP,no_tag,,FALSE,,,
lobo|NNC,object,no animal use case,FALSE,,,
Pagkatanghali|NNP,no_tag,,FALSE,,,
bulang|NNC_CCP,object,,FALSE,,,
pagsaing|NNC,gerund,,FALSE,,,
basura|NNC,object,,FALSE,,,
luyo|NNC,location,,FALSE,,,
Hua|NNP,no_tag,,FALSE,,,
pugita|NNC,animal,,FALSE,,,
motorsiklo|NNC,object,,FALSE,,,
Kailan|NNP,no_tag,,FALSE,,,
karton|NNC,object,,FALSE,,,
TV|NNPA,object,,FALSE,,,
ayoko|NNC,no_tag,adverb,FALSE,,,
pera|NNC,object,,FALSE,,,
Umiling|NNP,no_tag,,FALSE,,,
Psst|NNP,no_tag,,FALSE,,,
Ma’am|NNP,no_tag,,FALSE,,,
baso|NNC,object,,FALSE,,,
palang|NNC,no_tag,not a noun,FALSE,,,
USAID|NNPA,no_tag,,FALSE,,,
Kasi|NNP,no_tag,,FALSE,,,
Ulang|NNP,no_tag,,FALSE,,,
Mabibilog|NNP,no_tag,,FALSE,,,
basag|NNC,no_tag,adjective,FALSE,,,
itik|NNC,animal,,FALSE,,,
managinip|NNC,no_tag,verb,FALSE,tags,,
Alas|NNP,no_tag,,FALSE,,,
Layo|NNP,no_tag,,FALSE,,,
malay|NNC,MISC,abstract,FALSE,administration,,
pamingwit|NNC,object,,FALSE,aim,,
Sigaw|NNC,no_tag,verb,FALSE,,,
International|NNP,no_tag,,FALSE,,,
pababayaan|NNC,no_tag,verb,FALSE,animal,,
Hahaha|NNP,no_tag,,FALSE,,,
nanay|NNC,person,,FALSE,consequence,,
bisekleta|NNC,object,,FALSE,event,,
pagsasaka|NNC,gerund,,FALSE,location,,
kalderong|NNC_CCP,object,,FALSE,object,,
totorot|NNC,object,,FALSE,organization,,
halimbawa|NNC,MISC,single use case non conclusive,FALSE,person,,
Dodong|NNP,no_tag,,FALSE,,,
Manang|NNC_CCP,no_tag,named entity,FALSE,,,
kalidad|NNC,MISC,abstract; property,FALSE,,,
Sumosobra|NNP,no_tag,,FALSE,,,
Microcarpa|NNP,no_tag,,FALSE,,,
Hissssss|NNP,no_tag,,FALSE,,,
Mina|NNP,no_tag,,FALSE,,,
keso|NNC,food,,FALSE,gerund,,
buntot|NNC,body part,,FALSE,emotion,,
kalsada|NNC,location,,FALSE,mythical creature,,
kamote|NNC,food,,FALSE,body part,,
pigura|NNC,MISC,abstract,FALSE,food,,
Tiningala|NNP,no_tag,,FALSE,,,
utak|NNC,body part,,FALSE,,,
Diba|NNP,no_tag,,FALSE,,,
kulang|NNC,MISC,from magbagong kulang,FALSE,,,
Sumagang|NNC,Location,sa' before the word,FALSE,,,
Noy|NNP,no_tag,,FALSE,,,
Pia|NNP,no_tag,,FALSE,,,
hinog|NNC,no_tag,adjective,FALSE,,,
Lisa|NNP,no_tag,,FALSE,,,
Karamiha|NNP,no_tag,,FALSE,,,
Hinihiwa|NNP,no_tag,,FALSE,,,
imik|NNC,gerund,,FALSE,,,
Paulit|NNP,no_tag,,FALSE,,,
hamapas|NNC,gerund,,FALSE,,,
padaan|NNC,no_tag,verb,FALSE,,,
misa|NNC,event,,FALSE,,,
kakayahan|NNC,MISC,abstract,FALSE,,,
Rona|NNP,no_tag,,FALSE,,,
Woooosh|NNP,no_tag,,FALSE,,,
Kumurap|NNP,no_tag,,FALSE,,,
Yolly|NNP,no_tag,,FALSE,,,
Libot|NNP,no_tag,,FALSE,,,
Miyerkoles|NNP,no_tag,,FALSE,,,
Teka|NNP,no_tag,,FALSE,,,
lumbay|NNC,emotion,,FALSE,,,
pakaalis|NNC,no_tag,not a noun,FALSE,,,
Hooo|NNP,no_tag,,FALSE,,,
Amerikano|NNP,no_tag,,FALSE,,,
pagulong|NNC,no_tag,verb,FALSE,,,
Angkop|NNP,no_tag,,FALSE,,,
Kayo|NNP,no_tag,,FALSE,,,
kani|NNC,no_tag,from kani-kanila. pronoun,FALSE,,,
edad|NNC,MISC,abstract,FALSE,,,
Delgado|NNP,no_tag,,FALSE,,,
tuhod|NNC,body part,,FALSE,,,
cartoon|NNC,MISC,no other categs fit,FALSE,,,
Elementary|NNP,no_tag,,FALSE,,,
Pasilip|NNP,no_tag,,FALSE,,,
Miyerkules|NNP,no_tag,,FALSE,,,
timbang|NNC,MISC,abstract measured,FALSE,,,
eskuwelahan|NNC,location,,FALSE,,,
kilometro|NNC,MISC,abstract measured,FALSE,,,
paghila|NNC,"no_tag,gerund",2 use cases. one for each,TRUE,tags,,
Naku|NNP,no_tag,,FALSE,,,
Baryo|NNP,no_tag,,FALSE,,,
Pasensya|NNP,no_tag,,FALSE,,,
pakwan|NNC,food,,FALSE,administration,,
hiling|NNC,MISC,abstract,FALSE,aim,,
halina|NNC,no_tag,interjection,FALSE,animal,,
Bili|NNP,no_tag,,FALSE,,,
tilapyang|NNC_CCP,food,no use case for animal,FALSE,consequence,,
T|NNPA,no_tag,,FALSE,,,
Dambuhala|NNC,no_tag,adjective,FALSE,,,
ganda|NNC,no_tag,adjective,FALSE,event,,
Berto|NNP,no_tag,,FALSE,,,
Maharjan|NNP,no_tag,,FALSE,,,
alimasag|NNC,animal,no use case for food,FALSE,location,,
saba|NNC,food,,FALSE,object,,
asim|NNC,no_tag,adjective,FALSE,organization,,
tenga|NNC,body part,,FALSE,person,,
inuming|NNC,food,,FALSE,,,
ampalaya|NNC,food,,FALSE,gerund,,
asido|NNC,object,,FALSE,emotion,,
Yay|NNP,no_tag,,FALSE,,,
musang|NNC,animal,civet,FALSE,mythical creature,,
Tamarindus|NNP,no_tag,,FALSE,,,
pagbukas|NNC,gerund,,FALSE,body part,,
mangga|NNC,food,,FALSE,food,,
unglo|NNC,mythical creature,https://bcl.wiktionary.org/wiki/unglo,FALSE,,,
Ganyan|NNP,no_tag,,FALSE,,,
kaunlarang|NNC_CCP,no_tag,adjective,FALSE,,,
Wooooooosh|NNP,no_tag,,FALSE,,,
pagong|NNC,animal,,FALSE,,,
mais|NNC,food,,FALSE,,,
ikinabubuhay|NNC,MISC,abstract,FALSE,,,
Mando|NNP,no_tag,,FALSE,,,
bakasyon|NNC,event,,FALSE,,,
Alco|NNP,no_tag,,FALSE,,,
medalya|NNC,object,,FALSE,,,
Ipagpaumanhin|NNP,no_tag,,FALSE,,,
papelastik|NNC,object,,FALSE,,,
haba|NNC,MISC,abstract measurement,FALSE,,,
Parte|NNC,MISC,only use case is parte ng tradisyon,FALSE,,,
Carlos|NNP,no_tag,,FALSE,,,
modyul|NNC,object,,FALSE,,,
Cocoy|NNP,no_tag,,FALSE,,,
suklayan|NNC,no_tag,verb,FALSE,,,
liksi|NNC,no_tag,adjective,FALSE,,,
Sinaing|NNP,no_tag,,FALSE,,,
imprentahan|NNC,location,printing shop,FALSE,,,
piko|NNC,MISC,abstract game,FALSE,,,
Bentong|NNP,no_tag,,FALSE,,,
kagubatan|NNC,location,,FALSE,,,
pampasustansiya|NNC,MISC,"food sana but it's plant food, fertilizer",FALSE,,,
Amay|NNP,no_tag,,FALSE,,,
buyo|NNC,object,halaman,FALSE,,,
hall|NNC,location,barangay hall,FALSE,,,
habagat|NNC,event,hanging habagat,FALSE,,,
Umupo|NNP,no_tag,,FALSE,,,
Niloko|NNP,no_tag,,FALSE,,,
Molo|NNP,no_tag,,FALSE,,,
musika|NNC,MISC,abstract,FALSE,,,
Ay|NNP,no_tag,,FALSE,,,
lamesa|NNC,object,,FALSE,tags,,
magkakampi|NNC,MISC,use case inconclusive,FALSE,administration,,
Dumungaw|NNP,no_tag,,FALSE,,,
Kastila|NNP,no_tag,,FALSE,,,
Doona|NNP,no_tag,,FALSE,,,
Paalam|NNP,no_tag,,FALSE,,,
Pagkasalansan|NNP,no_tag,,FALSE,,,
pakiramdam|NNC,emotion,techically this is above emotion,FALSE,aim,,
eroplano|NNC,object,,FALSE,animal,,
tagaalaga|NNC,person,,FALSE,consequence,,
Kamayanang|NNC_CCP,location,,FALSE,,,
Dibis|NNP,no_tag,,FALSE,,,
Lamawan|NNP,no_tag,,FALSE,,,
id|NNCA,no_tag,named entity (person),FALSE,event,,
eskuwela|NNC,location,,FALSE,location,,
Bitbit|NNP,no_tag,,FALSE,,,
City|NNP,no_tag,,FALSE,,,
tradisyon|NNC,MISC,abstract,FALSE,object,,
Iluko|NNC,object,fertilizer,FALSE,,,
Aldo|NNP,no_tag,,FALSE,,,
paligid|NNC,location,,FALSE,organization,,
pagpayag|NNC,no_tag,verb,FALSE,person,,
Papagalitan|NNP,no_tag,,FALSE,,,
laing|NNC,food,,FALSE,,,
biskuwit|NNC,food,,FALSE,gerund,,
Balatan|NNC,no_tag,named_entity (Location),FALSE,,,
Ayan|NNP,no_tag,,FALSE,,,
Itali|NNP,no_tag,,FALSE,,,
chainsaw|NNC,object,,FALSE,emotion,,
Punta|NNP,no_tag,,FALSE,,,
niyog|NNC,food,,FALSE,mythical creature,,
paghihintay|NNC,no_tag,verb,FALSE,body part,,
Mama|NNC,person,common nickname,FALSE,,,
Budang|NNP,no_tag,,FALSE,,,
Titser|NNP,no_tag,,FALSE,,,
ulan|NNC,event,,FALSE,food,,
Jessie|NNP,no_tag,,FALSE,,,
sari|NNC,no_tag,adjective,FALSE,,,
pagkakataon|NNC,MISC,abstract not event,FALSE,,,
talisay|NNC,object,,FALSE,,,
Tikaw|NNP,no_tag,,FALSE,,,
lawa|NNC,location,,FALSE,,,
mungkahi|NNC,MISC,abstract,FALSE,,,
uling|NNC,object,,FALSE,,,
salita|NNC,MISC,abstract,FALSE,,,
Madulas|NNP,no_tag,,FALSE,,,
Sula|NNP,no_tag,,FALSE,,,
matang|NNC_CCP,body part,,FALSE,,,
Diyan|NNP,no_tag,,FALSE,,,
elesi|NNC,object,,FALSE,,,
Sasarahan|NNP,no_tag,,FALSE,,,
pasayan|NNC,food,no animal use case,FALSE,,,
kaba|NNC,emotion,,FALSE,,,
Ewan|NNP,no_tag,,FALSE,,,
Isarog|NNP,no_tag,,FALSE,,,
pagdrowing|NNC,no_tag,verb,FALSE,,,
dahoon|NNC,object,,FALSE,,,
lungkot|NNC,emotion,,FALSE,,,
Papo|NNP,no_tag,,FALSE,,,
paliwanag|NNC,MISC,abstract,FALSE,,,
palitan|NNC,no_tag,verb,FALSE,,,
asan|NNC,no_tag,not a noun,FALSE,,,
Kiko|NNP,no_tag,,FALSE,,,
Pe|NNP,no_tag,,FALSE,,,
Iko|NNP,no_tag,,FALSE,,,
tupi|NNC,no_tag,verb,FALSE,,,
luksong|NNC_CCP,MISC,abstract form luksong baka,FALSE,,,
bibig|NNC,body part,,FALSE,tags,,
uulan|NNC,event,,FALSE,administration,,
Tumakbong|NNP_CCP,no_tag,verb,FALSE,,,
ugali|NNC,MISC,abstract,FALSE,aim,,
Belen|NNP,no_tag,,FALSE,,,
Magkakapit|NNP,no_tag,,FALSE,,,
Mag|NNCA,no_tag,verb,FALSE,,,
ilahas|NNC,no_tag,adjective; ilahas na hayop wild animal,FALSE,animal,,
usok|NNC,MISC,definitely not object,FALSE,consequence,,
balikat|NNC,body part,,FALSE,event,,
Toto|NNP,no_tag,,FALSE,,,
libong|NNC_CCP,no_tag,adjective,FALSE,location,,
bunging|NNC_CCP,no_tag,adjective,FALSE,object,,
Paglagay|NNP,no_tag,,FALSE,,,
Foundation|NNP,no_tag,,FALSE,,,
Nay|NNC,person,common nickname,FALSE,,,
sapatos|NNC,object,,FALSE,organization,,
ninyong|NNC_CCP,no_tag,pronoun,FALSE,person,,
kaunlaran|NNC,MISC,abstract,FALSE,,,
Hello|NNP,no_tag,,FALSE,,,
grado|NNC,MISC,abstract measurement,FALSE,gerund,,
galit|NNC,emotion,,FALSE,emotion,,
pagbago|NNC,gerund,,FALSE,mythical creature,,
pawis|NNC,object,,FALSE,body part,,
hininga|NNC,MISC,not an object not a body part inconclusive,FALSE,food,,
Miss|NNP,no_tag,,FALSE,,,
Pupuriin|NNP,no_tag,,FALSE,,,
Sabby|NNP,no_tag,,FALSE,,,
kaharian|NNC,location,,FALSE,,,
tikbalang|NNC,mythical creature,,FALSE,,,
Magkantahan|NNP,no_tag,,FALSE,,,
pusod|NNC,body part,,FALSE,,,
labi|NNC,body part,,FALSE,,,
saya|NNC,"no_tag,emotion",sentence dependent,TRUE,,,
katawang|NNC_CCP,body part,,FALSE,,,
haplos|NNC,gerund,,FALSE,,,
puwang|NNC,location,abstract space maybe,FALSE,,,
Good|NNP,no_tag,,FALSE,,,
katribo|NNC,person,,FALSE,,,
Binuldoser|NNP,no_tag,,FALSE,,,
mundo|NNC,location,,FALSE,,,
espasyo|NNC,location,abstract space maybe,FALSE,,,
Uy|NNP,no_tag,,FALSE,,,
Dun|NNP,no_tag,,FALSE,,,
Dinesh|NNP,no_tag,,FALSE,,,
Anim|NNP,no_tag,,FALSE,,,
mo.|NNCA,no_tag,not an entity,FALSE,,,
Masustansiyang|NNP_CCP,no_tag,adjective,FALSE,,,
bignay|NNC,object,tree,FALSE,,,
Nak|NNCA,person,,FALSE,,,
Precy|NNP,no_tag,,FALSE,,,
pagguhit|NNC,gerund,,FALSE,,,
mambubukid|NNC,person,,FALSE,,,
imbak|NNC,object,,FALSE,,,
Manila|NNP,no_tag,,FALSE,,,
lakas|NNC,MISC,abstract property,FALSE,,,
Hinagilap|NNP,no_tag,,FALSE,,,
dyan|NNC,no_tag,not an entity,FALSE,,,
gala|NNC,no_tag,verb,FALSE,,,
Lunes|NNP,no_tag,,FALSE,,,
Akay|NNC,no_tag,named_entity (person),FALSE,,,
O|NNP,no_tag,,FALSE,,,
Magpapatulong|NNP_CCP,no_tag,verb,FALSE,,,
peklat|NNC,body part,,FALSE,,,
takang|NNC_CCP,no_tag,adjective,FALSE,,,
Auring|NNP,no_tag,,FALSE,,,
Plano|NNP,no_tag,,FALSE,,,
talo|NNC,no_tag,"adjective, verb",FALSE,tags,,
pakialam|NNC,MISC,abstract,FALSE,administration,,
gatas|NNC,food,,FALSE,aim,,
batuan|NNC,"no_tag,food",food for that one use case,TRUE,animal,,
tagpiin|NNC,no_tag,verb,FALSE,consequence,,
karakter|NNC,person,use case,FALSE,event,,
sityo|NNC,location,,FALSE,location,,
pangalang|NNC_CCP,MISC,abstract,FALSE,object,,
tabagak|NNC,animal,fish not food,FALSE,organization,,
Setyembre|NNP,no_tag,,FALSE,,,
Sagot|NNC,gerund,start of sentence subject,FALSE,,,
usupan|NNC,no_tag,verb,FALSE,person,,
langit|NNC,location,,FALSE,,,
bitbit|NNC,object,,FALSE,gerund,,
Covid|NNP,no_tag,,FALSE,,,
Dali|NNP,no_tag,,FALSE,,,
kabigan|NNC,person,,FALSE,emotion,,
kaibigang|NNC_CCP,animal,use case based,FALSE,mythical creature,,
paguugali|NNC,gerund,,FALSE,body part,,
Kukunin|NNP,no_tag,,FALSE,,,
Mag|NNP,no_tag,,FALSE,,,
karangalan|NNC,MISC,abstract,FALSE,food,,
Iihi|NNP,no_tag,,FALSE,,,
bilin|NNC,no_tag,verb,FALSE,,,
Luha|NNP,no_tag,,FALSE,,,
batayan|NNC,MISC,abstract,FALSE,,,
basong|NNC_CCP,object,,FALSE,,,
Wooosh|NNP,no_tag,,FALSE,,,
Kalamansi|NNP,no_tag,,FALSE,,,
Niko|NNP,no_tag,,FALSE,,,
pagsang|NNC,gerund,,FALSE,,,
Hala|NNP,no_tag,,FALSE,,,
mensahe|NNC,MISC,abstract,FALSE,,,
Matulungin|NNP,no_tag,,FALSE,,,
Epi|NNP,no_tag,,FALSE,,,
pagsisimula|NNC,no_tag,verb,FALSE,,,
sitaw|NNC,food,,FALSE,,,
