,sentence
13,"Kaya|CCR dapat|VBS tayong|PRP_CCP mag|VBW -|PMS ingat|FW lahat|PRI .|PMP
"
14,"Bawal|NNP munang|RBW_CCP lumabas|VBAF ang|DTC mga|DTCP matatanda|NNC pati|CCA mga|DTCP bata|NNC ,|PMC ""|PMS sabi|VBS ni|DTP Mama|NNP .|PMP
"
15,"Lumipas|VBAF ang|DTC mga|DTCP linggo|NNC at|CCA buwan|NNC ay|LM di|RBF pa|RBI rin|RBI lumalabas|VBTR_VBAF ang|DTC mga|DTCP tao|NNC .|PMP
"
16,"Kung|CCR lumabas|VBAF man|RBI ay|LM lagi|RBW silang|PRP_CCP naka|RBD -|PMS face|FW mask|FW at|CCA naka|RBD -|PMS face|FW shield|FW .|PMP
"
17,"Malungkot|JJD palagi|RBW si|DTP Maria|NNP .|PMP
"
18,"Gusto|VBS na|RBI niyang|PRS_CCP pumasok|VBAF sa|CCT klase|NNC .|PMP  
"
19,"""|PMS Ano|PRQ naman|RBI po|RBS ,|PMC Mama|NNC ,|PMC ang|DTC mga|DTCP ginagawa|VBTR sa|CCT eskuwelahan|NNC kapag|CCR Grade|NNP na|CCP ?|PMQ
"
20,"Gusto|VBS ko|PRS pong|PRO_CCP malaman|VBW ,|PMC ""|PMS tanong|NNC ni|DTP Maria|NNP .|PMP  
"
21,"""|PMS Teka|NNP lang|RBI ,|PMC Maria|NNP ,|PMC at|CCA mag|VBW -|PMS iskwe|NNC -|PMS eskuwelahan|NNC tayo|PRP ,|PMC ""|PMS sabi|VBS ni|DTP Manay|NNP Precy|NNP niya|PRS .|PMP  
"
22,"""|PMS Isasama|VBTF rin|RBI natin|PRP sa|CCT laro|NNC ang|DTC mga|DTCP kapatid|NNC natin|PRP para|CCT lalong|JJCC_CCP maging|VBW masaya|JJD .|PMP
"
23,"Ako|PRS ang|DTC teacher|NNC ,|PMC kayo|PRP ang|DTC mga|DTCP magkaklase|NNC ,|PMC ""|PMS dagdag|JJD pa|RBI ng|CCB Manay|NNP Precy|NNP niya|PRS .|PMP  
"
24,"""|PMS Good|NNP morning|FW ,|PMC class|FW ,|PMC ""|PMS sabi|VBS ni|DTP Titser|NNP Precy|NNP .|PMP  
"
25,"""|PMS Good|NNP morning|FW ,|PMC Titser|FW ,|PMC ""|PMS sabay|RBD -|PMS sabay|JJD na|CCP sagot|NNC ni|DTP Manoy|NNP Nilo|NNP ,|PMC Manoy|NNP Pilo|NNP ,|PMC at|CCA ni|DTP Manay|NNP Lina|NNP .|PMP
"
26,"Lahat|PRI sila|PRP ’|PMS y|FW may|VBH kaniya|PRSP -|PMS kaniyang|PRSP_CCP bag|FW na|CCP dala|JJD .|PMP  
"
27,"""|PMS Kumusta|NNP ,|PMC kumusta|VBAF ,|PMC kumusta|VBAF .|PMP
"
28,"Ako|PRS ’|PMS y|FW natutuwa|FW ,|PMC tralala|FW ,|PMC lalala|VBTF ,|PMC tralala|NNC ,|PMC lalala|VBTF .|PMP  
"
29,"""|PMS Ang|DTC kanta|NNC nila|PRP ay|LM sumasabay|VBTR_VBAF sa|CCT gitara|NNC ni|DTP Manay|NNP Lina|NNP .|PMP
"
30,"Sabi|VBS ni|DTP Titser|NNP Percy|NNP ay|LM gayahin|VBTS ang|DTC mga|DTCP hayop|NNC na|CCP naririnig|VBTR .|PMP  
"
31,"""|PMS Moooo|NNP ,|PMC ""|PMS sabi|VBS ko|PRS .|PMP  
"
32,"""|PMS Aw|NNP ,|PMC aw|NNC ,|PMC aw|NNC ,|PMC ""|PMS sabi|VBS ni|DTP Manay|NNP Lina|NNP .|PMP  
"
33,"""|PMS Ngiyaw|NNP ,|PMC ngiyaw|FW ,|PMC ""|PMS sabi|VBS ni|DTP Manoy|NNP Pilo|NNP .|PMP  
"
34,"""|PMS Kwak|NNP ,|PMC kwak|NNC ,|PMC kwak|NNC ,|PMC ""|PMS sabi|VBS naman|RBI ni|DTP Manoy|NNP Nilo|NNP .|PMP
"
35,"Lumabas|VBAF sila|PRP at|CCA pumunta|VBAF sa|CCT lugar|NNC na|CCP merong|VBH_CCP baboy|NNC ,|PMC manok|NNC ,|PMC kalabaw|NNC ,|PMC kambing|NNC ,|PMC at|CCA baka|NNC .|PMP
"
36,"Pagkatapos|VBW ,|PMC gumuhit|VBAF sila|PRP ng|CCB mga|DTCP hayop|NNC na|CCP ginaya|VBTS nila|PRP .|PMP
"
37,"Si|DTP Maria|NNP ay|LM nag|VBTS -|PMS trace|FW ng|CCB baka|NNC .|PMP  
"
38,"""|PMS Mmmm|NNP ,|PMC ang|DTC sarap|NNC ng|CCB naaamoy|VBTR ko|PRS ;|PMSC parang|CCT nagluluto|VBTR si|DTP Mama|NNP ng|CCB pansit|JJD Bato|NNC .|PMP
"
39,"Aha|NNP ,|PMC recess|FW na|CCP pala|NNC !|PMS  
"
40,"""|PMS masayang|JJD_CCP sinabi|VBTS ni|DTP Maria|NNP .|PMP  
"
41,"""|PMS Tara|NNP na|CCP ’|PMS t|NNCA kumain|VBAF na|CCP tayo|PRP ,|PMC ""|PMS tawag|NNC ni|DTP Manoy|NNP Pilo|NNP .|PMP  
"
42,"""|PMS Dahil|CCR busog|JJD na|CCP kayo|PRP ,|PMC halikayo|NNC at|CCA babasahan|VBOF ko|PRS kayo|PRP ng|CCB kuwento|NNC ,|PMC ""|PMS alok|NNC ni|DTP Titser|NNP Precy|NNP .|PMP
"
43,"Pagkatapos|VBW na|CCP magkuwento|VBW ni|DTP Titser|NNP Precy|NNP ,|PMC naglaro|VBTS sila|PRP ng|CCB luksong|NNC_CCP -|PMS baka|NNC .|PMP  
"
44,"""|PMS Ikaw|RBW naman|RBI ngayon|RBW ang|DTC baka|NNC ,|PMC Maria|NNP ,|PMC ""|PMS sabi|VBS nila|PRP Manoy|NNP Pilo|NNP .|PMP  
"
45,"""|PMS Ang|DTC bibigat|FW ninyo|PRP ,|PMC di|RBF ko|PRS naman|RBI kayo|PRP kaya|CCR ,|PMC ""|PMS sagot|NNC ni|DTP Maria|NNP .|PMP  
"
46,"""|PMS Ang|DTC daya|NNC .|PMP
"
47,"Ikaw|NNP na|CCP ang|DTC taya|NNC ,|PMC Maria|NNP .|PMP
"
48,"Huwag|RBF ka|PRS na|CCP ngang|RBI_CCP sumali|VBAF sa|CCT laro|NNC natin|PRP !|PMS  
"
49,"""|PMS galit|JJD na|CCP sabi|VBS ni|DTP Manay|NNP Lina|NNP .|PMP  
"
50,"""|PMS Ayoko|NNP ko|PRS nang|RBW maglaro|VBAF ng|CCB eskuwe|FW -|PMS eskuwelahan|NNC ,|PMC ayoko|NNC na|CCP rin|RBI kayong|PRO_CCP maging|VBW kaklase|JJD .|PMP
"
51,"Ang|DTC gusto|VBS ko|PRS ay|LM sa|CCT tunay|JJD na|CCP eskuwelahan|NNC !|PMS  
"
52,"""|PMS umiiyak|VBTR_VBAF na|CCP sabi|VBS ni|DTP Maria|NNP .|PMP  
"
53,"""|PMS Maria|NNP ,|PMC sa|CCT bahay|NNC at|CCA sa|CCT eskuwelahan|NNC ay|LM pareho|JJC lang|RBI naman|RBI .|PMP
"
54,"Bawal|JJD ang|DTC mandaya|VBW ,|PMC dapat|VBS ay|LM maging|VBW taya|NNC ka|PRS rin|RBI ,|PMC ""|PMS saway|NNC ni|DTP Mama|NNP ""|PMS Ngayong|RBW_CCP pandemya|NNC ,|PMC kayong|JJD_CCP magkakapatid|NNC ang|DTC magkakaklase|VBAF .|PMP
"
55,"Itong|PRO_CCP bahay|NNC natin|PRP ang|DTC klasrum|NNC ,|PMC ako|PRS ang|DTC titser|FW ninyo|PRP ,|PMC ""|PMS paliwanag|NNC ni|DTP Mama|NNP .|PMP
"
56,"Nang|RBW sumunod|VBAF na|CCP araw|NNC ay|LM dumating|VBAF na|CCP ang|DTC mga|DTCP bagong|JJD_CCP modyul|NNC .|PMP
"
57,"Masikap|NNP na|CCP sumagot|VBAF sa|CCT modyul|NNC si|DTP Maria|NNP .|PMP
"
58,"Kahit|CCT marong|NNC_CCP pandemya|JJD at|CCA sarado|JJD ang|DTC eskuwelahan|NNC ,|PMC patuloy|RBD ang|DTC pag|CCR -|PMS aaral|NNC ni|DTP Maria|NNP sa|CCT kanilang|PRSP_CCP bahay|NNC .|PMP
"
59,"Bukod|CCT kay|DTP Mama|NNP ,|PMC tinutulungan|VBTR din|RBI siya|PRS ng|CCB mga|DTCP nakatatanda|VBTR niyang|PRS_CCP kapatid|NNC .|PMP
"
60,"Kaya|CCR naging|VBTS madali|JJD at|CCA masaya|JJD ang|DTC pagkatuto|NNC niya|PRS .|PMP
"
61,"Malamig|JJD na|CCP hangin|NNC ang|DTC humahampas|VBTR_VBAF sa|CCT balat|NNC ni|DTP Tatay|NNP Mario|NNP .|PMP
"
62,"Inaayos|VBTR niya|PRS ang|DTC kaniyang|PRSP_CCP bangka|NNC galing|RBL sa|CCT pangingisda|NNC sa|CCT dagat|NNC ng|CCB Roxas|NNP City|NNP .|PMP
"
63,"Ang|DTC kanilang|PRSP_CCP bahay|NNC ay|LM malapit|JJD sa|CCT tabing|FW -|PMS dagat|NNC .|PMP
"
64,"Kalmado|JJD ang|DTC dagat|NNC ,|PMC pahiwatig|NNC na|CCP maganda|JJD ang|DTC araw|NNC .|PMP
"
65,"Noong|RBW_CCP araw|NNC na|CCP iyon|PRO ,|PMC marami|PRI siyang|PRS_CCP nahuli|VBTS na|CCP isda|NNC .|PMP
"
66,"May|VBH managat|NNC ,|PMC sapsap|NNC ,|PMC bulawbulaw|NNC ,|PMC at|CCA tabagak|NNC na|CCP sagana|JJD sagana|NNC ang|DTC Roxas|NNP .|PMP
"
67,"Bilang|CCT isang|PRI_CCP mangingisda|NNC ,|PMC binubuhay|VBTR niya|PRS ang|DTC kaniyang|PRSP_CCP limang|JJN_CCP taong|NNC_CCP gulang|NNC na|CCP anak|NNC na|CCP si|DTP Ali|NNP .|PMP
"
68,"Si|DTP Ali|NNP ay|LM masayang|JJD_CCP nakikipaglaro|VBTR sa|CCT kaniyang|PRSP_CCP mga|DTCP kaibigan|NNC .|PMP
"
69,"Nakita|VBTS niya|PRS ang|DTC kaniyang|PRSP_CCP ama|NNC na|CCP naglalakad|VBTR papunta|VBW sa|CCT kanilang|PRSP_CCP bahay|NNC .|PMP
"
70,"May|VBH dala|JJD siyang|PRS_CCP balde|JJD .|PMP
"
71,"Tumakbo|VBAF siya|PRS upang|CCB salubungin|VBOF ang|DTC tatay|NNC .|PMP  
"
72,"""|PMS Tatay|NNP ...|PMS Tatay|NNP ...|PMS Andito|CDB ka|PRS na|CCP !|PMS  
"
73,"""|PMS sigaw|NNC ni|DTP Ali|NNP .|PMP
"
74,"Bigla|RBD niyang|PRS_CCP niyakap|VBTS ang|DTC kaniyang|PRSP_CCP tatay|NNC .|PMP  
"
75,"""|PMS Basa|NNP ako|PRS ,|PMC Anak|NNP .|PMP
"
76,"Bitawan|VBOF mo|PRS muna|RBI ako|PRS .|PMP
"
77,"Mabigat|JJD din|RBI ang|DTC aking|PRSP_CCP dinadala|VBTR .|PMP  
"
78,"""|PMS Dahan|NNP -|PMS dahan|NNC niyang|PRS_CCP binitawan|VBOF ang|DTC mga|DTCP kamay|NNC niya|PRS .|PMP  
"
79,"""|PMS Tatay|NNC ,|PMC madami|PRI ka|PRS namang|RBI_CCP nakuha|VBTS ?|PMQ  
"
80,"""|PMS tanong|NNC ni|DTP Ali|NNP .|PMP  
"
81,"""|PMS Oo|RBT ,|PMC Anak|NNP .|PMP
"
82,"Madami|PRI ang|DTC kuha|NNC ko|PRS ngayon|RBW .|PMP
"
83,"Makakabili|VBTF na|CCP tayo|PRP ng|CCB bagong|JJD_CCP damit|NNC at|CCA laruan|NNC ,|PMC ""|PMS sagot|NNC ni|DTP Tatay|NNP .|PMP  
"
84,"""|PMS Yehey|NNP .|PMP
"
85,"May|VBH bago|JJD na|CCP naman|RBI akong|PRS_CCP damit|NNC at|CCA laruan|NNC ,|PMC ""|PMS masayang|JJD_CCP sigaw|NNC ni|DTP Ali|NNP .|PMP  
"
86,"""|PMS Sige|NNP na|RBI .|PMP
"
87,"Bumalik|VBAF ka|PRS na|CCP doon|PRL at|CCA naghihintay|VBTR ang|DTC iyong|PRSP_CCP mga|DTCP kalaro|NNC .|PMP
"
88,"Ayusin|VBOF ko|PRS muna|RBI ang|DTC aking|PRSP_CCP mga|DTCP pangisda|NNC .|PMP  
"
89,"""|PMS Sige|NNP ,|PMC Tatay|NNC .|PMP
"
90,"Babalik|VBTF na|CCP muna|RBI ako|PRS sa|CCT aking|PRSP_CCP mga|DTCP kalaro|NNC .|PMP ""|PMS  
"
91,"""|PMS Halika|NNP na|CCP !|PMS
"
92,"Maglaro|VBAF tayo|PRP ulit|RBW !|PMS  
"
93,"""|PMS pag|CCR -|PMS anyaya|NNC ng|CCB kaniyang|PRSP_CCP mga|DTCP kaibigan|NNC .|PMP  
"
94,"""|PMS Nanay|NNP ,|PMC Tatay|NNC ,|PMC gusto|VBS ko|PRS ’|PMS ng|CCB tinapay|NNC ,|PMC Ate|NNC ,|PMC Kuya|NNC ,|PMC gusto|VBS ko|PRS ’|PMS ng|CCB kape|NNC .|PMP
"
95,"Lahat|PRI ng|CCB gusto|VBS ko|PRS ay|LM susundin|VBTF niyo|PRP !|PMS  
"
96,"""|PMS sabay|RBD -|PMS sabay|RBD na|CCP kanta|NNC nila|PRP .|PMP
"
97,"Habang|RBW naglalaro|VBTR ,|PMC bigla|JJD na|RBI lang|RBI tumigil|VBAF at|CCA nagtanong|VBTS ang|DTC isa|PRI sa|CCT mga|DTCP kaibigan|NNC niya|PRS .|PMP  
"
98,"""|PMS Ali|NNP ,|PMC nasaan|JJD ang|DTC iyong|PRSP_CCP nanay|NNC ?|PMQ  
"
99,"""|PMS tanong|NNC ng|CCB isa|PRI niyang|PRS_CCP kaibigan|NNC .|PMP
"
100,"Nagtanong|VBTS din|RBI ang|DTC isa|PRI niyang|PRS_CCP kaibigan|NNC .|PMP  
"
101,"""|PMS Bakit|PRQ hindi|RBF namin|PRP siya|PRS nakikita|VBTR ?|PMQ
"
102,"Si|DTP Tatay|NNP mo|PRS lang|RBI ang|DTC nandiyan|VBTS .|PMP  
"
103,"""|PMS Nahiya|VBTS si|DTP Ali|NNP at|CCA sumagot|VBAF ,|PMC ""|PMS May|VBH pinuntahan|VBOF lang|RBI si|DTP Nanay|NNP ko|PRS .|PMP
"
104,"Iyan|VBTS_VBOF ang|DTC sabi|NNC ng|CCB Tatay|NNC .|PMP ""|PMS  
"
105,"""|PMS Bakit|PRQ hindi|RBF pa|RBI siya|PRS bumabalik|VBTR_VBAF ?|PMQ  
"
106,"""|PMS tanong|NNC ng|CCB isa|PRI niyang|PRS_CCP kaibigan|NNC .|PMP  
"
107,"""|PMS Hindi|RBF ko|PRS rin|RBI alam|VBS kung|RBK bakit|RBQ hindi|RBF pa|RBI siya|PRS nakabalik|VBTS ,|PMC ""|PMS malungkot|JJD na|CCP sagot|NNC ni|DTP Ali|NNP .|PMP  
"
108,"""|PMS Mukhang|RBM magdidilim|VBTF na|RBI .|PMP
"
109,"Uuwi|NNP na|CCP ako|PRS at|CCA baka|RBM hinahanap|VBTR na|CCP ako|PRS ng|CCB Tatay|NNC ko|PRS .|PMP  
"
110,"""|PMS Mabilis|RBD na|CCP tumabakbo|VBAF si|DTP Ali|NNP pabalik|VBW sa|CCT kanilang|PRSP_CCP bahay|NNC .|PMP
"
111,"Habang|RBW naghahapunan|VBTR ,|PMC tinaong|VBTS ni|DTP Ali|NNP ang|DTC kaniyang|PRSP_CCP tatay|NNC .|PMP  
"
112,"""|PMS Tatay|NNC ,|PMC kailan|PRQ babalik|VBTF si|DTP Nanay|NNP ?|PMQ  
"
113,"""|PMS Hindi|RBF sumagot|VBAF si|DTP Tatay|NNP sa|CCT tanong|NNC ni|DTP Ali|NNP .|PMP
"
114,"Biglang|RBD_CCP tumahimik|VBAF si|DTP Ali|NNP sa|CCT harap|NNC ng|CCB kaniyang|PRSP_CCP tatay|NNC .|PMP
"
115,"Dali|NNP -|PMS dali|JJD niyang|PRS_CCP tinatapos|VBTR ang|DTC kaniyang|PRSP_CCP hapunan|NNC at|CCA uminum|VBAF ng|CCB tubig|NNC .|PMP  
"
116,"""|PMS Tapos|RBW ka|PRS na|CCP bang|RBM kumain|VBAF ?|PMQ  
"
117,"""|PMS tanong|NNC ni|DTP Tatay|NNC kay|DTP Ali|NNP .|PMP
"
118,"Tumango|NNP lang|RBI si|DTP Ali|NNP .|PMP  
"
119,"""|PMS Maghuhugas|NNP muna|RBI ako|PRS ng|CCB pinggan|NNC .|PMP
"
120,"Dito|PRL ka|PRS lang|RBI ha|NNCA ,|PMC Ali|NNP ?|PMQ
"
121,"Huwag|RBF ka|PRS munang|RBW_CCP lumabas|VBAF dahil|CCR gabi|RBW na|RBI .|PMP
"
122,"Malakas|JJD din|RBI ang|DTC alon|NNC ngayong|RBW_CCP gabi|RBW ,|PMC ""|PMS sabi|VBS ni|DTP Tatay|NNP Ali|NNP .|PMP
"
123,"Hindi|RBF sumagot|VBAF si|DTP Ali|NNP .|PMP
"
124,"Pumunta|VBAF sa|CCT likod|NNC ng|CCB bahay|NNC si|DTP Tatay|NNP Mario|NNP para|CCT maghugas|VBW ng|CCB kanilang|PRSP_CCP pinagkainan|VBRF .|PMP
"
125,"Nalungkot|VBTS si|DTP Ali|NNP .|PMP
"
126,"Lumabas|VBAF siya|PRS na|CCP hindi|RBF nagpaalam|VBTS sa|CCT kaniyang|PRSP_CCP Tatay|NNC .|PMP
"
127,"Naramdaman|VBTS niya|PRS ang|DTC malakas|JJD na|CCP hamapas|NNC ng|CCB hangin|NNC habang|RBW naglalakad|VBTR sa|CCT tabing|NNC_CCP dagat|NNC .|PMP
"
128,"Lumapit|VBAF siya|PRS sa|CCT tubig|NNC at|CCA binabad|VBOF ang|DTC kaniyang|PRSP_CCP mga|DTCP kamay|NNC hanggang|RBW lubusang|RBD_CCP nagtampisaw|VBTR sa|CCT dagat|NNC .|PMP
"
129,"Bigla|RBD siyang|PRS_CCP hinampas|VBTS ng|CCB malakas|JJD na|CCP alon|NNC ng|CCB tubig|NNC .|PMP
"
130,"Siya|PRS ay|LM natumba|VBTS at|CCA naanod|VBTS .|PMP
"
131,"Lumutang|VBTR_VBAF siya|PRS sa|CCT dagat|NNC .|PMP
"
132,"May|VBH nainum|VBTS siyang|PRS_CCP tubig|NNC .|PMP
"
133,"Unti|NNP -|PMS unti|JJD siyang|PRS_CCP nalulunod|VBTR habang|RBW naririnig|VBTR ang|DTC sigaw|NNC ng|CCB kaniyang|PRSP_CCP tatay|NNC .|PMP  
"
134,"""|PMS Ali|NNP !|PMS  
"
135,"""|PMS Biglang|RBD_CCP may|VBH humila|VBAF pataas|JJD sa|CCT mga|DTCP kamay|NNC ni|DTP Ali|NNP .|PMP
"
136,"Niyakap|VBTS siya|PRS ng|CCB mahigpit|JJD ng|CCB kaniyang|PRSP_CCP tatay|NNC habang|RBW umiiyak|VBTR_VBAF .|PMP  
"
137,"""|PMS Sabi|VBS ko|PRS na|CCP na|CCP huwag|RBF kang|PRS_CCP lumabas|VBAF .|PMP
"
138,"Ayaw|RBF ko|PRS na|CCP pati|CCA ikaw|PRS ,|PMC mawala|VBW pa|RBI sa|CCT akin|PRSP ,|PMC Ali|NNP .|PMP
"
139,"Ikaw|NNP na|CCP lang|RBI ang|DTC mayroon|VBH ako|PRS .|PMP  
"
140,"""|PMS Binuhat|VBTS siya|PRS ng|CCB kaniyang|PRSP_CCP tatay|NNC habang|RBW ang|DTC kanyang|PRSP_CCP ulo|NNC ay|LM nakapatong|VBTS sa|CCT balikat|NNC ng|CCB kaniyang|PRSP_CCP ama|NNC .|PMP
"
141,"Sa|CCT kanilang|PRSP_CCP daan|NNC pauwi|NNC ,|PMC nakita|VBTS ni|DTP Ali|NNP ang|DTC bangka|NNC ng|CCB kaniyang|PRSP_CCP tatay|NNC .|PMP  
"
142,"""|PMS Mario|NNP Ali|NNP ""|PMS ang|DTC nasilayan|VBTS ni|DTP Ali|NNP sa|CCT ilalim|JJD ng|CCB liwanag|NNC ng|CCB buwan|NNC .|PMP
"
143,"Si|DTP Tatay|NNP Mario|NNP ay|LM isang|PRI_CCP mangingisda|NNC sa|CCT lungsod|NNC ng|CCB Roxas|NNP .|PMP
"
144,"Kasama|CCB niyang|PRS_CCP namumuhay|VBTR nang|RBW matiwasay|JJD ay|LM ang|DTC kaniyang|PRSP_CCP anak|NNC na|CCP si|DTP Ali|NNP .|PMP
"
145,"Kasabay|CCB sa|CCT paglaki|NNC ni|DTP Ali|NNP ang|DTC kanyang|PRSP_CCP tanong|NNC kung|CCR nasaan|JJD ang|DTC kanyang|PRSP_CCP nanay|NNC -|PMS tanong|NNC na|CCP siyang|PRS_CCP magbubuhay|VBW ng|CCB pagmamahal|NNC ni|DTP Tatay|NNP Mario|NNP sa|CCT kanya|PRSP .|PMP
"
146,"Mahaba|JJD ,|PMC makapal|JJD at|CCA nagniningning|VBTR ang|DTC buhok|NNC ng|CCB batang|NNC_CCP si|DTP Donna|NNP .|PMP
"
147,"Tuwing|RBW hapon|RBW ,|PMC naglalaro|VBTR siya|PRS sa|CCT labas|NNC ng|CCB kanilang|PRSP_CCP bahay|NNC at|CCA maraming|PRI_CCP bata|NNC ang|DTC pumupuri|VBTR_VBAF sa|CCT kaniyang|PRSP_CCP buhok|NNC .|PMP
"
148,"Isang|PRI_CCP araw|NNC ,|PMC pumunta|VBAF si|DTP Donna|NNP sa|CCT plaza|NNC kung|RBK saan|RBQ naghihintay|VBTR ang|DTC kaniyang|PRSP_CCP mga|DTCP kaibgan|NNC .|PMP
"
149,"Naglaro|VBTS sila|PRP sa|CCT ilalim|JJD ng|CCB araw|NNC .|PMP
"
150,"Madilim|JJD na|CCP nang|RBW sila|PRP ay|LM umuwi|VBAF .|PMP
"
151,"Napagod|VBTS siya|PRS sa|CCT paglalaro|NNC at|CCA may|VBH dumi|NNC pa|RBI sa|CCT mukha|NNC .|PMP  
"
152,"""|PMS Donna|NNP ,|PMC saan|PRQ ka|PRS namang|RBI_CCP nanggaling|VBTS ?|PMQ ""|PMS  
"
153,"""|PMS Naglaro|VBTS sa|CCT plaza|NNC ,|PMC Nanay|NNC ,|PMC ""|PMS sagot|NNC ni|DTP Donna|NNP .|PMP
"
154,"Dumiretso|VBAF siya|PRS sa|CCT sala|NNC .|PMP
"
155,"Hindi|RBF na|CCP naligo|VBTS si|DTP Donna|NNP .|PMP
"
156,"Hindi|RBF rin|RBI siya|PRS nagbihis|VBTS .|PMP
"
157,"Nagbukas|VBTS lang|RBI siya|PRS ng|CCB TV|NNPA at|CCA nanood|VBTS ng|CCB cartoon|NNC .|PMP
"
158,"Dumating|VBAF si|DTP Tatay|NNP Kiko|NNP at|CCA hinanap|VBTS si|DTP Donna|NNP .|PMP  
"
159,"""|PMS Nene|NNP ,|PMC maganda|JJD ito|PRO para|CCT sa|CCT iyong|PRSP_CCP buhok|NNC .|PMP
"
160,"Lalo|JJCC ka|PRS pang|RBI_CCP gaganda|VBTF dahil|CCR dito|PRL ,|PMC ""|PMS sabi|VBS Tatay|NNP Kiko|NNP .|PMP  
"
161,"""|PMS Wow|NNP ,|PMC Tatay|NNC !|PMS
"
162,"Salamat|RBS !|PMS  
"
163,"""|PMS sigaw|NNC ni|DTP Donna|NNP .|PMP  
"
164,"""|PMS Pupuriin|NNP naman|RBI ako|PRS nito|PRO ng|CCB aking|PRSP_CCP mga|DTCP kaibigan|NNC ,|PMC ""|PMS bulong|NNC ni|DTP Donna|NNP habang|RBW nagkakamot|VBTR ng|CCB kaniyang|PRSP_CCP ulo|NNC .|PMP
"
165,"Maya|NNP -|PMS maya|NNC ,|PMC naghapunan|VBTS ang|DTC pamilya|NNC .|PMP
"
166,"Pagkatapos|VBW nilang|PRP_CCP kumain|VBAF ,|PMC sinabihan|VBTS ni|DTP Nanay|NNP Mila|NNP si|DTP Donna|NNP na|CCP maligo|VBW at|CCA magbihis|VBW .|PMP
"
167,"Pero|CCT natulog|VBTS lang|RBI si|DTP Donna|NNP nang|RBW hindi|RBF sumunod|VBAF sa|CCT utos|NNC ng|CCB kaniyang|PRSP_CCP ina|NNC .|PMP
"
168,"Kinaumagahan|NNP ,|PMC pumunta|VBAF ng|CCB plaza|NNC si|DTP Donna|NNP .|PMP  
"
169,"""|PMS Donna|NNP ,|PMC maglaro|VBAF naman|RBI tayo|PRP ng|CCB piko|NNC !|PMS  
"
170,"""|PMS paanyaya|NNC ni|DTP Caloy|NNP .|PMP  
"
171,"""|PMS Sige|NNP !|PMS  
"
172,"""|PMS sagot|NNC ni|DTP Donna|NNP .|PMP
"
173,"Naglaro|VBTS muli|RBW si|DTP Donna|NNP at|CCA ang|DTC kaniyang|PRSP_CCP mga|DTCP kaibigan|NNC .|PMP
"
174,"Mataas|JJD ang|DTC tirik|NNC ng|CCB araw|NNC ,|PMC subalit|CCT patuloy|RBD ang|DTC paglalaro|VBW ng|CCB mga|DTCP magkaibigan|NNC .|PMP  
"
175,"""|PMS Ang|DTC init|NNC !|PMS
"
176,"Sandali|RBW lang|RBI at|CCA itatali|VBOF ko|PRS ang|DTC buhok|NNC ko|PRS ,|PMC ""|PMS sabi|VBS ni|DTP Donna|NNP .|PMP
"
177,"Kinuha|VBOF niya|PRS sa|CCT kaniyang|PRSP_CCP bulsa|NNC ang|DTC tali|NNC na|CCP binigay|VBOF ng|CCB kaniyang|PRSP_CCP Tatay|NNC Kiko|NNC .|PMP  
"
178,"""|PMS Wow|NNP !|PMS
"
