tokens,just_category,manual_tag,,match_type
aso|NNC,"['animal', 'object', 'person']",animal,,Match
pusa|NNC,"['animal', 'object']",animal,,Match
baybayin|NNC,"['object', 'location']",location,,Match
nars|NNC,"['person', 'object']",person,,Match
Larawan|NNC,"['object', 'event']",MISC,MISC,Mismatch
tagagawa|NNC,"['person', 'object', 'organization']",person,,Match
suporta|NNC,"['event', 'object']",gerund,,Mismatch
talunan|NNC,"['object', 'person']",MISC,probably adjective but it's a noun,Mismatch
Ang|NNP,"['event', 'animal', 'person']",no_tag,not an entity,Mismatch
paglalakad|NNC,"['event', 'object']","gerund,no_tag",verb,Mismatch
ama|NNC,"['object', 'person']",person,,Match
posisyon|NNC,"['location', 'object']",location,,Match
kama|NNC,"['object', 'organization']",object,,Match
babaeng|NNC_CCP,"['person', 'object']",person,,Match
pulutong|NNC,"['organization', 'event']",organization,,Match
bato|NNC,"['object', 'animal']","object,no_tag",verb in one use case,Mismatch
tauhan|NNC,"['organization', 'object']",person,,Mismatch
pangkat|NNC,"['organization', 'event']",organization,,Match
Hindu|NNP,"['object', 'person']",person,,Match
palaruan|NNC,"['object', 'location']",location,,Match
daanan|NNC,"['object', 'event']","location,no_tag",verb in one case,Mismatch
panig|NNC,"['location', 'object', 'organization']",organization,,Match
larawan|NNC,"['object', 'event']",object,,Match
reyna|NNC,"['animal', 'object', 'person']",person,,Match
Palatandaan|NNC,"['event', 'location', 'object']",MISC,,Mismatch
kapatid|NNC,"['person', 'object']",person,,Match
Rehiyon|NNP,"['location', 'object']",location,,Match
kabayanan|NNC,"['location', 'object']",location,,Match
daan|NNC,"['object', 'location']","location,MISC",,Mismatch
tagapangasiwa|NNC,"['person', 'object']",person,,Match
dulo|NNC,"['location', 'object']","location,object",,Mismatch
militar|NNC,"['organization', 'event', 'object']",organization,,Match
okasyon|NNC,"['event', 'aim']",event,,Match
bakuran|NNC,"['location', 'object']",location,,Match
Palaka|NNP,"['animal', 'object', 'person']",animal,,Match
sunog|NNC,"['event', 'person']","event,no_tag",,Mismatch
tungkod|NNC,"['animal', 'object']",object,,Match
bisita|NNC,"['person', 'object']",person,,Match
paggawa|NNC,"['event', 'object']",gerund,,Mismatch
lupa|NNC,"['object', 'animal']","object,location",,Mismatch
lalawigan|NNC,"['location', 'object']",location,,Match
inhinyero|NNC,"['object', 'person']",person,,Match
arkitekto|NNC,"['object', 'person']",person,,Match
tao|NNC,"['event', 'person', 'object']",person,,Match
sanggol|NNC,"['person', 'animal']",person,,Match
pelikulang|NNC_CCP,"['object', 'event']",event,,Match
Bantay|NNP,"['person', 'object', 'organization']",no_tag,named entity,Mismatch
papel|NNC,"['event', 'object']","MISC,object",,Mismatch
May|NNP,"['animal', 'object', 'person']",no_tag,not an entity,Mismatch
gamit|NNC,"['object', 'event']",object,,Match
tahanan|NNC,"['location', 'object']","location,object",,Mismatch
bukirin|NNC,"['location', 'object']",location,,Match
halaman|NNC,"['object', 'person']",object,,Match
nilalang|NNC,"['person', 'object']",person,,Match
Hunyango|NNP,"['person', 'object']",person,,Match
barangay|NNC,"['animal', 'object']",location,,Mismatch
kahoy|NNC,"['animal', 'object']",object,,Match
bahagi|NNC,"['location', 'object']","location,object,MISC",,Mismatch
satelayt|NNC,"['object', 'person']",object,,Match
pastulan|NNC,"['location', 'object']",location,,Match
bukid|NNC,"['location', 'object']",location,,Match
ari|NNC,"['animal', 'person', 'object']",person,,Match
gilid|NNC,"['object', 'location']",location,,Match
Bukid|NNP,"['location', 'object']",location,,Match
katulong|NNC,"['object', 'person']",person,,Match
lugar|NNC,"['location', 'object', 'event']",location,,Match
siyentipiko|NNC,"['person', 'object']",person,,Match
kausap|NNC,"['object', 'person']",person,,Match
ulo|NNC,"['object', 'person', 'animal']",body part,,Mismatch
kabayo|NNC,"['animal', 'object']",animal,,Match
Anak|NNC,"['person', 'object']",person,,Match
uod|NNC,"['animal', 'object', 'person']",animal,,Match
